标题	车种类及厂家	新品简介
新品品鉴：新E代加长臂系列挖掘机	挖掘机  山河智能  	新E代加长臂系列挖掘机。
解放新悍威四后四油罐车	厦工  	"解放新悍威四后四油罐车罐体有效容积:21立方米,罐体尺寸:长7800毫米,长轴2200毫米,短轴1550毫米.罐体最大容积:23立方米,底盘型号CA1250P1K2L7T3BE4A80，轴距1900+5150；J5M新悍威平地板高顶驾驶室，CA6DF4-22E4发动机，陕齿7档变速箱，457冲焊桥。"
柳工弘扬民族国际品牌、勇担社会责任	挖掘机  柳工  	近年来，我国自然灾害频发，面对一些突发的特大型灾害，部队急需更多优质设备第一时间来挽回人民生命、财产损失。湖南路通积极响应柳工履行社会责任的号召，加入湖南省紧急救援协会。
精品品鉴: SWL系列滑移装载机	山河智能  	SWL系列滑移装载机为山河智能自主研发的机、电、液一体化小型多功能设备，该机器结构紧凑、动作灵活、操作方便、工作高效、功能强大、维护简单。特别适用于城市基础设施、道路或建筑工地、厂房车间、仓库、码头、轮船甲板，甚至船舱内等场地狭窄、作业内容频繁变化的场合。
XCA220，别以为我只是看上去很美! 	汽车起重机  徐工  	不觉间，从事吊装行业已经十多年，成为了名副其实的&ldquo;老司机&rdquo;。没有豪言壮语，也没有什么惊天伟业，但是却有幸见识了吊装行业的大起大落。困境中总不绝希望，这种瓶颈总会有人来打破，徐工的G一代产品，没有大牌明星代言，没有泛滥的广告植入，却能引发行业的海啸，看来是实力非凡。
高驱动推土机——推土机界的“魔兽”！	推土机  宣工  	要说这几天最火的电影，肯定非《魔兽》莫属，想必大家都已近看过了吧？11年前，一个大型网游《魔兽世界》进入中国，从此俘获大批宅男的心。11年后电影《魔兽》上映，短短5天，国内票房已破10亿。
华菱新型城市智能环保渣土车产品推介会在合肥隆重举行	星马  	6月7日下午，华菱新型城市智能环保渣土车产品推介会在合肥白金汉爵大酒店举行，隆重推介华菱新型智能环保城市渣土车。参加本次推介会的有合肥市城管局及渣管办的领导及200余名渣土车用户。华菱星马营销分公司华菱营销部总经理方毅出席了此次活动。
上海金泰SG液压抓斗再出新品 SG50A首站进入太原夺人眼球	上海金泰  	2016年5月底，已有2500年城建历史的&ldquo;龙城&rdquo;太原终于迎来了首条地铁全线开工，与此同时，上海金泰首台SG50A地下连续墙液压抓斗抵运太原二号线&ldquo;矿机街站&rdquo;，并在24小时内顺利安装调试完成。
利勃海尔最新柴油发动机和气体发动机	利勃海尔  	&bull;新型V型柴油发动机产品系列&mdash;&mdash;D96XX和D98XX&mdash;&mdash;2016年底开式批量生产&bull;新型移动式气体发动。
东风小型清洗吸污车 楚胜牌CSC5070GQW4型清洗吸污车	专用汽车  厦工  	东风小型清洗吸污车配置：底盘型号DFA1070SJ35D6，轴距3300，轻发D28D11-4DA发动机115马力带增压或朝柴100马力发动机，三元摧化，尾气净化，车架130-192，前桥2后桥4，后桥速比6.142，轮胎7.00R16，单排。
市政环卫好帮手—东风天锦联合疏通车	专用汽车  厦工  	联合疏通车又叫下水道疏通车，该车是联合高压清洗车和吸污车的功能与一体的新型环卫专用车辆，该车亮点功能为人力所不能到达的下水道堵塞区域疏通、所以叫做联合疏通车。该车其他功能为楼层冲洗、吸污排污、园林绿化等。
V你而来，一汽新款解放前四后六油罐车	油罐车  厦工  	V卡超越以往产品。大气的外形、舒适的驾驶室。
直击维特根VCS 真空除尘铣刨系统天津路演	维特根  	近期，由天津市市政公路行业协会在天津市举行了一场维特根VCS真空除尘铣刨系统的技术交流体验活动。此次活动中就维特根VCS真空除尘铣刨系统与到会的行业内专业人士代表进行了技术探讨，更为难得的是还通过设备操作演示让与会代表切身感受到了这一技术的实际使用效果。
小身材，大用处——沃尔沃国三新机EC55D详解	挖掘机  沃尔沃  	近日，沃尔沃建筑设备正式推出了升级版沃尔沃EC55D挖掘机，该机不仅轻松达到了最新的国三排放标准，还有多项创新升级，无疑是目前市场上小型挖掘机中的&ldquo;当红小生&rdquo;。
国三新机迎初试 夏收服务一键通	中联重科  	《农民日报 》（2016年06月02日05版）报道：5月25日，河南省唐河县桐寨铺镇后王庄，麦穗金黄，丰收在望。唐河县主要农作物全程机械化集中展示活动在这里举行，新型收割机、植保无人机、旋耕机、播种机轮番上阵，为今年的夏收增上一抹亮色。
城市配送的黄金搭档---菱马H3厢式载货车	破碎机  	随着经济和时代的发展与变迁，老一辈的卡车司机们渐渐退出物流行业的大舞台，越来越多的80后、90后开始接替父辈们从事物流运输行业。年轻的卡车司机们买车更加的理性，不仅仅关注车辆的价格和品牌，更关心车辆的性价比、舒适度以及车辆的附加价值；买到一辆外形大气、高端时尚、质量稳定。
红星新型环保节能圆锥破碎机特点分析	内燃叉车  柳工  	圆锥破碎机是破碎机中的佼佼者，自破碎机在我国出现开始，圆锥破碎机就迅速在我国得到发展，且发展迅速。西蒙斯圆锥破、弹簧圆锥破、单杠液压圆锥破、多缸液压圆锥破等，最近，红星机器又有新成果，率先推出新型环保节能圆锥破碎机，来看看他都有什么特点吧。1、采用液压保护系统。
柳工携新品C30叉车参加德国CeMAT物流展	单钢轮压路机  国机重工  	CeMAT 2016&mdash;&mdash;世界领先的内部物流和供应链管理博览会于德国时间5月31日至6月3日在汉诺威举行。为展示工业车辆最新科研成果，提升柳工叉车品牌国际影响力，柳工借德国汉诺威国际物流展（CeMAT）这个平台，首次推出符合欧洲市场的C系列叉车。
重磅！国机洛建·中国第四代全液压单钢振动压路机荣耀上市！！	挖掘机  斗山  	日前，国机重工（洛阳）建筑机械有限公司压实机械又喜添新丁&mdash;&mdash;LSS321H/323H全液压单钢轮振动重磅下线，该系列产品是中国最前沿的第四代全液压单钢轮振动压路机，配置国Ⅲ排放的上柴动力，已于日前荣耀上市！！当下正值工程机械的销售旺季。
斗山DX380LC-9C——当之无愧的矿山挖王	滑移装载机  柳工  	斗山从用户的需求出发，通过不断的研究及优化，创造出全新一代的矿山最佳机型DX380LC-9C。DX380LC-9C采用全新一代电子控制式发动机，具有高性能、低油耗。
柳工成功开发CLG388B履带式滑移装载机	起重机械  徐工  	近日，柳工新开发的CLG388B履带式四阶段滑移样机下线。这是继上4月15日，在澳大利亚全球工程机械和农业机械展会上，柳工推出CLG385B四阶段滑移装载机收获10台订单后开发的又一款新产品。
徐工RT55E越野轮胎起重机宝马展再掀“中国热”	雷萨重机  	4月11日，世界工程机械的盛会&mdash;&mdash;德国慕尼黑宝马展又如期开幕了。作为中国工程机械行业的标杆企业&mdash;&mdash;徐工集团已经是第九次参加这场全球最顶级制造商角逐大会。
行业“绿巨人”雷萨重机Q25汽车起重机问世	挖掘机  力士德  2015-12-23 09:43	肩负着&ldquo;中国智造&rdquo;和&ldquo;绿色机械&rdquo;的使命，雷萨重机汽车起重系列产品自投放市场以来，以其先进技术、制造精良、使用可靠和行业服务第一品牌的优势赢得了广大用户的信赖。
力士德盈天下SC5030 挖掘机：节能高效环保	挖掘机  斗山  2015-12-15 09:50	近日，力士德SC5030挖掘机在重庆、福建、浙江、山东等地开展的巡回演示活动，节能挖掘机与国外某品牌40吨级挖机进行了装车对比演示。通过对比（自卸车单台次运料43吨左右）对比，力士德SC5030节能挖装料15车，燃油消耗30.8升；国外某品牌40吨级挖掘机装料12车，燃油消耗45升。
